"","OBS","ARIMA","ETS","FTS_SA"
"45",11217,11399.3235628258,12386.1774734086,10474.8952670089
"46",11296,10944.1124978868,12137.5754137608,9431.75842946304
"47",9761,11035.3702100079,12016.3042294358,9861.96192501275
"48",9907,10064.9062915042,11344.9626662461,7626.34370111828
"49",11358,10116.9356326438,10991.3678670508,8613.49592575464
"50",10640,11039.5496416212,11339.6749971782,11119.4821493059
"51",13148,10613.9727462933,11273.1908392223,9039.75800183288
"52",11948,12264.7927196904,12208.1942939911,14926.2882749216
"53",13472,11604.1668196051,12312.7998539496,9882.22959787323
"54",13030,12654.628233214,12969.569726115,14465.811769641
"55",13330,12482.2994900436,13198.9985112416,11207.8571162253
"56",13274,12758.3476687836,13455.8878238696,12257.3904085615
"57",12347,12804.0581727061,13591.0661771746,11787.4530698976
"58",12084,12263.0854822326,13313.004617707,10580.6370433752
"59",10557,12102.4755292836,13040.6780843991,10402.9150733463
"60",10396,11096.9917121179,12280.120102683,8406.92836209415
"61",15045,10913.3405519342,11752.5611924204,8773.25267708573
"62",13615,13891.8013244875,13238.6626635787,16806.4243950423
"63",17103,13119.0874851914,13590.6356195007,11680.2935936976
"64",15502,15481.2996592383,15162.6621297257,21636.5896667614
"65",17647,14663.8888254231,15500.6299698227,13288.42622888
"66",17409,16193.4982278483,16541.6256826429,19881.0247061802
"67",17519,16246.9321404646,17085.2653466622,15749.6072513469
"68",17843,16486.8533747196,17460.2918981197,16213.0684463934
"69",16047,16848.5664953591,17815.5108449334,16694.5346206649
"70",16124,15812.5824376551,17333.8743350885,14120.028268999
"71",13674,15896.9756836482,17069.3886382019,14780.4230313115
"72",13666,14320.7600287811,15954.5462228128,11437.1054642388
"73",13148,14222.1814463352,15269.961754407,12229.4298164671
"74",12553,13801.7436289173,14649.9551743504,11273.402398079
"75",15600,13316.660228973,14039.464764863,10661.8316646367
"76",14291,15207.5059032584,14851.6466888455,16047.9524934233
"77",16104,14404.4891781942,14838.7763127897,12242.5914542523
"78",15563,15578.7541587366,15536.1724855799,17672.9980633784
"79",16075,15299.2571551598,15751.9190281444,13673.382498185
"80",16037,15673.5569504231,16082.9204274679,15295.0925346029
"81",14464,15706.5279967807,16270.4006594983,14568.9794254602
"82",15000,14721.1865487313,15772.9925659021,12539.5603737534
"83",12830,15036.0797749673,15677.43299358,13935.886233186
"84",12526,13605.7820710315,14774.771720235,10594.996685505
"85",13941,13294.1957761956,14104.7242940521,10810.4039286498
"86",13641,14112.6130742911,14245.6028557705,13376.0728007971
"87",16779,13890.8327558156,14214.9490290899,11928.7128311036
"88",15439,15915.5835059571,15416.9435354041,18990.5870821463
"89",17209,15160.1604783439,15630.2763928804,13475.7847655843
"90",16431,16362.7977213252,16449.2053076689,18691.7760774142
"91",17187,15973.9697615351,16647.0351130196,14408.9102241326
"92",16510,16536.4008336994,17062.0093513968,16783.3613125325
"93",15409,16185.6773018668,17052.2243000569,14539.4909337502
"94",15056,15509.4223631208,16617.8661490761,13369.2318534423
"95",13080,15263.1081856073,16214.9946258979,13218.7481603727
"96",13025,13935.5362889338,15199.9690720784,10871.8757968268
"97",14007,13775.9661203829,14558.1109985018,11434.5920829366
"98",13791,14312.5080021179,14547.7687229014,13269.5020381043
"99",16702,14126.57203498,14457.3638313027,12247.5020721571
"100",15722,15989.8745665337,15534.5268124407,18328.0294109472
"101",16995,15449.0415832541,15811.6113428563,13871.0488971567
"102",16601,16324.4382733612,16476.1579402761,17504.4426461554
"103",17059,16162.448208425,16729.0140239786,14814.248821849
"104",16229,16526.5091019116,17061.6902085272,16201.3974172206
"105",15588,16058.2642324305,16942.0807621889,14338.9146677473
"106",15527,15661.9404747998,16619.5502622629,13637.6031061709
"107",13770,15611.2109940782,16398.628174117,13841.4510023308
"108",13196,14445.1952548733,15580.0128550048,11646.8027348333
"109",19054,13970.8076827737,14856.2979397839,11285.5169328829
"110",16627,17706.0965883227,16692.8445365478,21159.7586548984
"111",21018,16306.7237932909,16871.1534229294,14431.9698857099
"112",17963,19236.6143401465,18688.3287809839,26405.4988736822
"113",20989,17487.3684292582,18610.4850755545,15671.7567994092
"114",19841,19543.2475598903,19740.0643977099,24844.8042339406
"115",19971,18997.9442420456,19983.8295735223,17685.9383476279
"116",20783,19204.9678377297,20183.346511095,18688.301871957
"117",19630,19848.7631613629,20621.1378809869,20022.9228030815
"118",17693,19226.3666434598,20440.1199371719,17884.1093195689
"119",15736,18012.5344616321,19575.8690811826,15483.1230380837
"120",15304,16681.2176798355,18286.2287613866,13504.2128204848
"121",14222,16261.1218303868,17329.8542673484,13198.4886964446
"122",14601,15412.4375229865,16324.3091645948,12084.7325492146
"123",19034,15489.5608043011,15857.0860870708,13246.5764847001
"124",17009,18272.6036029253,17296.0358982058,21123.0937788826
"125",19832,17052.6034127338,17387.7149231798,15115.4773069859
"126",21250,18900.2440743483,18541.9374180674,23345.6581012328
"127",20881,19965.927522491,19799.0223216025,22036.9186433805
"128",23275,19908.8826187482,20423.7784280229,20277.9023561779
"129",19287,21621.3528893125,21736.9358142138,24928.3891487221
"130",21735,19240.951145089,20988.0566938979,16933.1020894747
"131",18486,20855.2566770973,21482.6219238718,24498.1510462096
"132",15875,18848.503020625,20520.8939299519,15855.3154926467
"133",13647,17081.4884187743,18917.2461339237,13562.2797052015
