;MGLU3.SA.Close
26/11/2018;19,7712
27/11/2018;21,0963
28/11/2018;21,2563
29/11/2018;21,405001
30/11/2018;20,5788
03/12/2018;20,2663
04/12/2018;20,6
05/12/2018;20,6138
06/12/2018;20,6663
07/12/2018;20,5438
10/12/2018;20,0662
11/12/2018;20,5487
12/12/2018;21
13/12/2018;20,9375
14/12/2018;21,325001
17/12/2018;21,258801
18/12/2018;21,987499
19/12/2018;22,1262
20/12/2018;22,2425
21/12/2018;22,844999
26/12/2018;22,094999
27/12/2018;21,75
28/12/2018;22,633801
02/01/2019;23,2488
03/01/2019;23
04/01/2019;22,299999
07/01/2019;22,6462
08/01/2019;22,4638
09/01/2019;22,3888
10/01/2019;22,6063
11/01/2019;22,200001
14/01/2019;22,375
15/01/2019;22,1213
16/01/2019;21,875
17/01/2019;21,809999
18/01/2019;21,775
21/01/2019;20,875
22/01/2019;20,2563
23/01/2019;21,200001
24/01/2019;20,934999
28/01/2019;20,922501
29/01/2019;22,262501
30/01/2019;22,0187
31/01/2019;22,383801
01/02/2019;22,35
04/02/2019;22,133801
05/02/2019;21,9375
06/02/2019;21,2125
07/02/2019;20,85
08/02/2019;21,25
11/02/2019;20,6663
12/02/2019;20,6
13/02/2019;20,1625
14/02/2019;21,3363
15/02/2019;20,4963
18/02/2019;21,067499
19/02/2019;21,2075
20/02/2019;20,3125
21/02/2019;20,137501
22/02/2019;22,237499
25/02/2019;21,7125
26/02/2019;22,3125
27/02/2019;22
28/02/2019;21,682501
01/03/2019;21,9025
06/03/2019;NA
07/03/2019;22,1437
08/03/2019;22,602501
11/03/2019;22,821301
12/03/2019;22,3563
13/03/2019;22,16
14/03/2019;22,0625
15/03/2019;22,1488
18/03/2019;22,5525
19/03/2019;22,5875
20/03/2019;22,7038
21/03/2019;22,7812
22/03/2019;21,6625
25/03/2019;21,6388
26/03/2019;22,0737
27/03/2019;21
28/03/2019;21,3487
29/03/2019;21,6063
01/04/2019;21,4112
02/04/2019;20,7687
03/04/2019;21,133801
04/04/2019;21,125
05/04/2019;21,2488
08/04/2019;20,842501
09/04/2019;20,7887
10/04/2019;21,0875
11/04/2019;20,75
12/04/2019;20,6038
15/04/2019;20,4375
16/04/2019;20,3375
17/04/2019;19,977501
18/04/2019;21,35
22/04/2019;20,9
23/04/2019;21,375
24/04/2019;21,557501
25/04/2019;21,875
